Disease,Disease Code,State,Year,Gender,Age,Age Code,STD Cases,Population,Rate per 100K
Chlamydia,274,Alabama,1996,Male,0-14 years,0-14,25,468394,5.34
Chlamydia,274,Alabama,1996,Male,15-19 years,15-19,164,165920,98.84
Chlamydia,274,Alabama,1996,Male,20-24 years,20-24,193,152848,126.27
Chlamydia,274,Alabama,1996,Male,25-29 years,25-29,88,152778,57.6
Chlamydia,274,Alabama,1996,Male,30-34 years,30-34,55,155850,35.29
Chlamydia,274,Alabama,1996,Male,35-39 years,35-39,30,168841,17.77
Chlamydia,274,Alabama,1996,Male,40+ years,40+,44,819248,5.37
Chlamydia,274,Alabama,1996,Male,Unknown,99,63,,
Chlamydia,274,Alabama,1997,Male,0-14 years,0-14,27,473016,5.71
Chlamydia,274,Alabama,1997,Male,15-19 years,15-19,230,167083,137.66
Chlamydia,274,Alabama,1997,Male,20-24 years,20-24,185,150783,122.69
Chlamydia,274,Alabama,1997,Male,25-29 years,25-29,109,154166,70.7
Chlamydia,274,Alabama,1997,Male,30-34 years,30-34,50,151932,32.91
Chlamydia,274,Alabama,1997,Male,35-39 years,35-39,41,168350,24.35
Chlamydia,274,Alabama,1997,Male,40+ years,40+,66,837795,7.88
Chlamydia,274,Alabama,1998,Male,0-14 years,0-14,38,472365,8.04
Chlamydia,274,Alabama,1998,Male,15-19 years,15-19,267,167374,159.52
Chlamydia,274,Alabama,1998,Male,20-24 years,20-24,236,151228,156.06
Chlamydia,274,Alabama,1998,Male,25-29 years,25-29,133,154387,86.15
Chlamydia,274,Alabama,1998,Male,30-34 years,30-34,76,149654,50.78
Chlamydia,274,Alabama,1998,Male,35-39 years,35-39,38,168795,22.51
Chlamydia,274,Alabama,1998,Male,40+ years,40+,56,859032,6.52
Chlamydia,274,Alabama,1999,Male,0-14 years,0-14,30,475482,6.31
Chlamydia,274,Alabama,1999,Male,15-19 years,15-19,250,166099,150.51
Chlamydia,274,Alabama,1999,Male,20-24 years,20-24,200,151548,131.97
Chlamydia,274,Alabama,1999,Male,25-29 years,25-29,125,151877,82.3
Chlamydia,274,Alabama,1999,Male,30-34 years,30-34,66,148196,44.54
Chlamydia,274,Alabama,1999,Male,35-39 years,35-39,41,167921,24.42
Chlamydia,274,Alabama,1999,Male,40+ years,40+,58,875759,6.62
Chlamydia,274,Alabama,1999,Male,Unknown,99,25,,
Chlamydia,274,Alabama,2000,Male,0-14 years,0-14,20,471642,4.24
Chlamydia,274,Alabama,2000,Male,15-19 years,15-19,375,163376,229.53
Chlamydia,274,Alabama,2000,Male,20-24 years,20-24,493,153879,320.38
Chlamydia,274,Alabama,2000,Male,25-29 years,25-29,253,148829,169.99
Chlamydia,274,Alabama,2000,Male,30-34 years,30-34,121,149723,80.82
Chlamydia,274,Alabama,2000,Male,35-39 years,35-39,67,166434,40.26
Chlamydia,274,Alabama,2000,Male,40+ years,40+,75,895009,8.38
Chlamydia,274,Alabama,2000,Male,Unknown,99,28,,
Chlamydia,274,Alabama,2001,Male,0-14 years,0-14,27,472551,5.71
Chlamydia,274,Alabama,2001,Male,15-19 years,15-19,271,162233,167.04
Chlamydia,274,Alabama,2001,Male,20-24 years,20-24,391,157814,247.76
Chlamydia,274,Alabama,2001,Male,25-29 years,25-29,199,145674,136.61
Chlamydia,274,Alabama,2001,Male,30-34 years,30-34,98,150626,65.06
Chlamydia,274,Alabama,2001,Male,35-39 years,35-39,58,162717,35.64
Chlamydia,274,Alabama,2001,Male,40+ years,40+,56,907438,6.17
Chlamydia,274,Alabama,2001,Male,Unknown,99,24,,
Chlamydia,274,Alabama,2002,Male,0-14 years,0-14,28,469788,5.96
Chlamydia,274,Alabama,2002,Male,15-19 years,15-19,339,161966,209.3
Chlamydia,274,Alabama,2002,Male,20-24 years,20-24,593,161282,367.68
Chlamydia,274,Alabama,2002,Male,25-29 years,25-29,289,145240,198.98
Chlamydia,274,Alabama,2002,Male,30-34 years,30-34,150,153025,98.02
Chlamydia,274,Alabama,2002,Male,35-39 years,35-39,64,158412,40.4
Chlamydia,274,Alabama,2002,Male,40+ years,40+,98,919422,10.66
Chlamydia,274,Alabama,2002,Male,Unknown,99,18,,
Chlamydia,274,Alabama,2003,Male,0-14 years,0-14,32,469913,6.81
Chlamydia,274,Alabama,2003,Male,15-19 years,15-19,306,162722,188.05
Chlamydia,274,Alabama,2003,Male,20-24 years,20-24,389,163265,238.26
Chlamydia,274,Alabama,2003,Male,25-29 years,25-29,207,145088,142.67
Chlamydia,274,Alabama,2003,Male,30-34 years,30-34,105,150482,69.78
Chlamydia,274,Alabama,2003,Male,35-39 years,35-39,55,152679,36.02
Chlamydia,274,Alabama,2003,Male,40+ years,40+,86,935015,9.2
Chlamydia,274,Alabama,2003,Male,Unknown,99,21,,
Chlamydia,274,Alabama,2004,Male,0-14 years,0-14,22,463087,4.75
Chlamydia,274,Alabama,2004,Male,15-19 years,15-19,374,163267,229.07
Chlamydia,274,Alabama,2004,Male,20-24 years,20-24,580,164745,352.06
Chlamydia,274,Alabama,2004,Male,25-29 years,25-29,289,148879,194.12
Chlamydia,274,Alabama,2004,Male,30-34 years,30-34,142,149850,94.76
Chlamydia,274,Alabama,2004,Male,35-39 years,35-39,79,150310,52.56
Chlamydia,274,Alabama,2004,Male,40+ years,40+,104,956070,10.88
Chlamydia,274,Alabama,2004,Male,Unknown,99,13,,
Chlamydia,274,Alabama,2005,Male,0-14 years,0-14,22,458480,4.8
Chlamydia,274,Alabama,2005,Male,15-19 years,15-19,601,165142,363.93
Chlamydia,274,Alabama,2005,Male,20-24 years,20-24,860,164174,523.83
Chlamydia,274,Alabama,2005,Male,25-29 years,25-29,499,153371,325.36
Chlamydia,274,Alabama,2005,Male,30-34 years,30-34,218,147670,147.63
Chlamydia,274,Alabama,2005,Male,35-39 years,35-39,104,149840,69.41
Chlamydia,274,Alabama,2005,Male,40+ years,40+,181,972985,18.6
Chlamydia,274,Alabama,2005,Male,Unknown,99,22,,
Chlamydia,274,Alabama,2006,Male,0-14 years,0-14,32,467853,6.84
Chlamydia,274,Alabama,2006,Male,15-19 years,15-19,1293,165849,779.62
Chlamydia,274,Alabama,2006,Male,20-24 years,20-24,1858,162692,1142.04
Chlamydia,274,Alabama,2006,Male,25-29 years,25-29,914,157856,579.01
Chlamydia,274,Alabama,2006,Male,30-34 years,30-34,392,142250,275.57
Chlamydia,274,Alabama,2006,Male,35-39 years,35-39,195,150682,129.41
Chlamydia,274,Alabama,2006,Male,40+ years,40+,252,982287,25.65
Chlamydia,274,Alabama,2006,Male,Unknown,99,49,,
Chlamydia,274,Alabama,2007,Male,0-14 years,0-14,32,472907,6.77
Chlamydia,274,Alabama,2007,Male,15-19 years,15-19,1434,165712,865.36
Chlamydia,274,Alabama,2007,Male,20-24 years,20-24,2290,159810,1432.95
Chlamydia,274,Alabama,2007,Male,25-29 years,25-29,1123,160889,698
Chlamydia,274,Alabama,2007,Male,30-34 years,30-34,503,141457,355.58
Chlamydia,274,Alabama,2007,Male,35-39 years,35-39,225,152090,147.94
Chlamydia,274,Alabama,2007,Male,40+ years,40+,332,989260,33.56
Chlamydia,274,Alabama,2007,Male,Unknown,99,16,,
Chlamydia,274,Alabama,2008,Male,0-14 years,0-14,44,473529,9.29
Chlamydia,274,Alabama,2008,Male,15-19 years,15-19,1528,166570,917.33
Chlamydia,274,Alabama,2008,Male,20-24 years,20-24,2341,159612,1466.68
Chlamydia,274,Alabama,2008,Male,25-29 years,25-29,1085,161570,671.54
Chlamydia,274,Alabama,2008,Male,30-34 years,30-34,466,142221,327.66
Chlamydia,274,Alabama,2008,Male,35-39 years,35-39,243,152327,159.53
Chlamydia,274,Alabama,2008,Male,40+ years,40+,283,1002258,28.24
Chlamydia,274,Alabama,2008,Male,Unknown,99,17,,
